104,CIMB Niaga Finance,"Finance, Data and Analytics",Indonesia
105,Circles.Life,"Product, Ops, Data and Analytics",Indonesia
106,ClassPass,"Sales, BD and Partnerships, Finance, Exec Team, HR, People, Talent",Indonesia
107,Club Alacarte (PT. Media Digital Alacarte),"Marketing, BD and Partnerships, Product",Indonesia
108,CoHive,"BD and Partnerships, Finance",Indonesia
109,CoHive,"Product, Ops, Design",Indonesia
110,CoHive,"Sales, BD and Partnerships",Indonesia
111,ConnectOne,"Marketing, Sales, BD and Partnerships, Ops, Exec Team, HR, People, Talent",Indonesia
112,CT Corp Digital,Data and Analytics,Indonesia
113,CT Corp Digital,Data and Analytics,Indonesia
114,CT Corp Digital,Data and Analytics,Indonesia
115,CT Corp Digital,Data and Analytics,Indonesia
116,CT Corp Digital,Data and Analytics,Indonesia
117,CT Corp Digital,Design,Indonesia
118,CT Corp Digital,Design,Indonesia
119,CT Corp Digital,Design,Indonesia
120,CT Corp Digital,Design,Indonesia
121,CT Corp Digital,Engineering,Indonesia
122,CT Corp Digital,Engineering,Indonesia
123,CT Corp Digital,Engineering,Indonesia
124,CT Corp Digital,Engineering,Indonesia
125,CT Corp Digital,Engineering,Indonesia
126,CT Corp Digital,Engineering,Indonesia
127,CT Corp Digital,Engineering,Indonesia
128,CT Corp Digital,Engineering,Indonesia
129,CT Corp Digital,Engineering,Indonesia
130,CT Corp Digital,Engineering,Indonesia
131,CT Corp Digital,Engineering,Indonesia
132,CT Corp Digital,Engineering,Indonesia
133,CT Corp Digital,Engineering,Indonesia
134,CT Corp Digital,Engineering,Indonesia
135,CT Corp Digital,Engineering,Indonesia
136,CT Corp Digital,Engineering,Indonesia
137,CT Corp Digital,Engineering,Indonesia
138,CT Corp Digital,"Marketing, Data and Analytics",Indonesia
139,DataOn,Engineering,Indonesia
140,Deltamas,"Marketing, Product, Data and Analytics",Indonesia
141,Digitaraya,"Marketing, BD and Partnerships, Ops, HR, People, Talent",Indonesia
142,Dimo Pay,"HR, People, Talent",Indonesia
143,Dimo Pay,"Marketing, BD and Partnerships, Ops",Indonesia
144,Dimo Pay,Ops,Indonesia
145,Dimo Pay,Ops,Indonesia
146,Dimo Pay,Ops,Indonesia
147,Disrupto Society,"Marketing, Sales, BD and Partnerships, Finance, Exec Team, HR, People, Talent",Indonesia
148,Dokter Mobil,Data and Analytics,Indonesia
149,Dokter Sehat,BD and Partnerships,Indonesia
150,Dokter Sehat,BD and Partnerships,Indonesia
151,Dokter Sehat,"Marketing, Design",Indonesia
152,Dokter Sehat,"Marketing, Design",Indonesia
153,Dompet Kilat,Data and Analytics,Indonesia
154,Dompet Kilat,Marketing,Indonesia
